,SUV_대형,SUV_중형,SUV_소형,세단_대형,세단_중형,세단_소형,쿠페,스포츠카,해치백
16-Jan,478,619,631,909,3637,535,0,0,479
16-Feb,0,443,873,358,3437,634,0,0,857
16-Mar,0,0,930,0,7107,910,0,0,2373
16-Apr,459,0,0,0,5160,664,0,0,0
16-May,0,0,769,449,4869,801,0,0,1665
16-Jun,520,0,640,1276,5432,1444,490,0,0
16-Jul,494,0,0,599,4397,602,343,0,340
16-Aug,426,315,0,507,5166,689,0,0,415
16-Sep,0,673,0,748,5561,599,0,0,328
16-Oct,0,0,0,427,9976,904,0,0,456
16-Nov,0,358,0,836,7977,1120,0,0,0
16-Dec,407,0,0,1078,7071,1153,0,0,740
17-Jan,555,468,0,612,6620,614,0,0,0
17-Feb,403,362,0,600,5758,442,339,0,0
17-Mar,515,458,0,943,8113,1101,0,0,0
17-Apr,489,0,0,546,7630,1572,0,0,671
17-May,537,773,0,0,6091,1177,0,0,1178
17-Jun,790,767,0,549,8721,1247,0,0,502
17-Jul,624,455,0,0,7307,692,0,0,0
17-Aug,439,833,0,0,6901,769,0,0,390
17-Sep,600,0,384,0,8042,870,540,0,425
17-Oct,457,0,502,830,6385,936,0,0,0
17-Nov,0,654,577,838,9275,1125,0,0,0
17-Dec,501,665,0,651,7075,1238,0,0,484
18-Jan,617,0,334,879,9237,827,0,338,0
18-Feb,465,1079,0,639,7347,3175,0,0,0
18-Mar,615,594,0,683,11417,1143,0,0,568
18-Apr,633,0,0,632,12914,1091,0,0,0
18-May,0,689,1561,820,9383,0,0,0,0
18-Jun,694,1509,1529,769,7757,0,0,0,0
18-Jul,619,638,1391,846,6960,0,0,0,0
18-Aug,554,0,1553,497,5142,0,0,0,1183
18-Sep,513,456,446,0,4891,0,0,0,2716
18-Oct,567,919,0,0,9747,0,0,0,637
18-Nov,0,1294,843,0,8510,829,1430,0,0
18-Dec,0,923,0,760,7335,903,847,0,0
19-Jan,537,0,0,0,7863,924,550,0,0
19-Feb,498,450,0,0,6974,681,0,0,0
19-Mar,1151,1359,0,0,6025,691,0,0,0
19-Apr,565,622,0,723,7349,624,0,0,0
19-May,1330,888,0,0,7649,0,0,0,581
19-Jun,501,775,0,1185,7508,0,0,0,0
19-Jul,544,795,577,718,7445,0,497,0,564
19-Aug,0,833,325,1168,7378,0,392,0,565
19-Sep,1513,1103,0,441,7290,0,994,0,423
19-Oct,2059,1447,0,661,5716,938,508,0,0
19-Nov,1152,1131,1640,0,7512,847,532,0,0
19-Dec,824,0,0,3109,8785,858,1505,0,0
20-Jan,721,769,564,2152,3236,391,904,0,0
20-Feb,0,807,574,400,4883,1503,0,360,0
20-Mar,0,695,1022,0,6498,1178,581,511,0
20-Apr,0,1004,1316,588,6527,743,671,0,0
20-May,0,0,1164,519,6303,1312,723,0,493
20-Jun,0,628,1268,0,12625,0,0,0,635
20-Jul,1034,0,1034,532,6377,518,0,0,0
20-Aug,593,2047,0,0,7182,1616,0,0,0
20-Sep,0,598,644,540,6842,1588,0,0,583
20-Oct,0,2132,3133,590,5099,1127,0,0,0
20-Nov,574,532,1767,0,8716,579,665,0,0
20-Dec,678,1108,514,0,11344,793,522,0,0
21-Jan,810,933,565,0,5573,1425,0,0,0
21-Feb,527,1728,485,0,5814,1422,0,0,0
21-Mar,0,1801,513,0,10140,884,621,0,0
21-Apr,0,2452,539,735,6282,713,0,0,0
21-May,0,4669,0,1664,5965,604,0,0,565
21-Jun,0,1972,1029,1682,8185,772,0,0,0
21-Jul,0,504,440,1379,6120,834,514,0,425
21-Aug,0,2175,1014,704,5611,672,0,0,561
21-Sep,0,4771,0,0,3326,550,0,0,529
21-Oct,0,1887,0,786,4314,472,0,0,0
21-Nov,601,1042,497,964,3905,630,0,0,0
21-Dec,1194,444,0,1824,7509,433,0,0,0
22-Jan,908,505,0,928,4710,550,0,0,384
22-Feb,1246,514,0,1440,5054,831,0,0,0
22-Mar,0,3319,0,1205,7668,931,0,0,0
22-Apr,0,906,0,1060,7329,694,502,0,0
22-May,0,2572,0,828,7051,675,0,0,0
22-Jun,0,3268,0,1012,4419,778,0,0,0
22-Jul,773,2890,0,948,2310,601,0,0,0
22-Aug,0,3402,565,1541,5634,0,600,0,0
22-Sep,0,4797,624,667,4466,0,0,0,0
22-Oct,561,3908,1235,0,5991,0,0,0,0
22-Nov,0,2454,1113,861,6614,689,0,0,0
22-Dec,0,649,2458,930,8313,675,0,0,0
23-Jan,392,1847,0,727,5041,515,0,0,0
23-Feb,599,922,439,1076,6675,0,653,0,0
23-Mar,594,3012,0,883,5478,0,0,0,0
23-Apr,546,2823,0,659,3527,578,0,0,0
23-May,469,1249,565,712,4208,0,522,0,0
23-Jun,847,1347,0,1431,6250,679,699,0,0
23-Jul,440,1295,603,876,4190,532,0,0,0
23-Aug,0,1952,506,633,4884,497,0,0,0
23-Sep,0,6732,0,0,4544,842,550,0,0
23-Oct,501,3718,0,0,5217,958,467,0,0
